Item,Serving_size,Calories,Fat,Sat_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein,Dairy,Egg,Soy,Wheat,Tree_Nuts,Fish,Price,Description,Ingredients
5 Ct Nuggets Kid's Meal,71g,160,7,1.5,0,50,760,7,0,1,17,1,1,0,1,0,0,6.19,"Bite-sized pieces of boneless chicken breast, seasoned to perfection, freshly breaded and pressure cooked in 100% refined peanut oil. Available with choice of dipping sauce.","Chicken (boneless, skinless chicken breast meat nuggets, enriched bleached flour [with malted barley flour, niacin, iron thiamine mononitrate, riboflavin, folic acid], fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added], sugar, salt, monosodium glutamate, pasteurized nonfat dry milk, leavening [sodium bicarbonate, sodium aluminum phosphate, monocalcium phosphate], spices, water, soybean oil, paprika, pasteurized egg)"
2 Ct Chick-n-Strips Kid's Meal,91g,200,9,2,0,50,580,11,0,1,19,1,1,0,1,0,0,6.75,"Made from the most tender part of the chicken breast, our Chick-n-Strips are marinated in special seasonings, freshly breaded and pressure cooked to perfection in 100% refined peanut oil.","Chicken (boneless, skinless breast tenderloins, yeast extract, salt, maltodextrin, potassium chloride, spice, flavor, chicken fat, garlic powder, sugar syrup, onion powder, citric acid, paprika [color], sodium diacetate, silicon dioxide [anticaking agent], molasses, tomato powder, smoke flavor, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent} added])"
5 Ct Grilled Nuggets Kid's Meal,59g,80,2,0,0,55,270,1,0,0,16,0,0,0,0,0,0,6.79,"Bite-sized pieces of freshly marinated boneless breast of chicken, grilled for a tender and juicy backyard-smoky taste. Available with guest's choice of dipping sauce.","Boneless skinless, chicken breast containing up to 16% solution of water, seasoning (yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids), chicken flavor (chicken breast meat, chicken stock, salt, maltodextrin), modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor (including smoke) and calcium disodium EDTA (to protect quality), high oleic canola oil, dimethylpolysiloxane added to reduce foaming."
Barbeque Sauce,28g,45,0,0,0,0,200,11,0,9,0,0,0,0,0,0,0,0.00,"Our classic barbeque sauce, seasoned with spices, onion and garlic for a rich and bold flavor.","Water, tomato paste, sugar, brown sugar, distilled vinegar, corn syrup solids, corn syrup, pineapple juice concentrate, salt, modified cornstarch, potassium sorbate and sodium benzoate added as preservatives, caramel (color), natural flavor including smoke flavor, spice, garlic*, onion * *dehydrated"
Chick-fil-A Sauce,28g,140,13,2,0,10,170,7,0,6,0,0,1,0,0,0,0,0.00,Our classic dipping sauce with notes of honey mustard and a smoky tang.,"Soybean oil, sugar, bbq sauce [tomato paste, corn syrup, vinegar, natural hickory smoke flavor, caramel color, spices, garlic*, onion*, natural flavor, oleoresin paprika], water, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic*), distilled vinegar, egg yolk, salt, cider vinegar, lemon juice concentrate, mustard flour, xanthan gum, natural flavor, garlic*, calcium disodium edta added to protect flavor. *dehydrated."
Garden Herb Ranch Sauce,28g,140,15,2.5,0,15,210,1,0,1,1,1,1,0,0,0,0,0.00,"A creamy buttermilk ranch sauce with savory garlic, onion and herb flavors.","Soybean oil, buttermilk, water, sour cream (cream, modified corn starch, lactic acid, gelatin, guar gum, mono and diglycerides, sodium phosphate, acetic acid, citric acid, phosphoric acid, natural and artificial flavors), distilled vinegar, egg yolk, salt, garlic (including dehydrated), sugar, buttermilk powder, glucono delta lactone, dehydrated onion, potassium sorbate and sodium benzoate added as preservatives, mustard seed, xanthan gum, spice, green onion, calcium disodium edta added to protect flavor"
Honey Mustard Sauce,28g,50,0,0,0,0,160,12,0,10,0,0,0,0,0,0,0,0.00,A savory sauce with the robust flavor of mustard and spices combined with the sweetness of honey.,"Water, honey, sugar, distilled vinegar, modified corn starch, mustard seed, salt, garlic*, spices, soybean oil, turmeric, natural flavors, onion*, sodium benzoate added as preservative, xanthan gum, guar gum, molasses, corn syrup, caramel (color), tamarind *dehydrated"
Polynesian Sauce,28g,110,6,1,0,0,220,14,0,12,0,0,0,0,0,0,0,0.00,"A delicious sweet and sour sauce with a strong, tangy flavor.","Sugar, soybean oil, water, corn syrup, corn cider vinegar, distilled vinegar, tomato paste, salt, paprika, mustard seed, modified cornstarch, beet juice (color), onion*, garlic*, xanthan gum, propylene glycol alginate, natural flavor *dehydrated"
Sweet and Spicy Sriracha Sauce,28g,45,0,0,0,0,380,11,0,10,0,0,0,1,1,0,0,0.00,A sweet and tangy sauce made with chili peppers for a spicy twist.,
Zesty Buffalo Sauce,21g,25,2.5,0,0,5,570,1,0,0,0,1,1,0,0,0,0,0.00,"A flavorful hot sauce with a smooth, bold flavor.",
Honey Roasted BBQ Sauce,12g,60,5,1,0,5,75,3,0,2,0,0,1,0,0,0,0,0.00,A sweet and smoky barbeque sauce made especially for our grilled chicken,
Frosted Lemonade,383g,330,6,4,0,25,120,65,0,63,6,1,0,0,0,0,0,4.69,This refreshing treat is a hand-spun combination of Chick-fil-A Lemonade (or Diet Lemonade) and our signature Icedream dessert.,"Whole milk, nonfat milk, sugar, milkfat, nonfat dry milk, natural and artificial flavors, mono and diglycerides, guar gum, carrageenan, corn starch, cellulose gum, beta carotene (color), water, lemon juice, sugar"
Frosted Coffee,383g,250,6,4,0,25,120,43,1,39,6,1,0,0,0,0,0,4.69,A hand-spun treat that combines a custom blend of cold-brewed coffee with our signature Icedream dessert.,"Whole milk, nonfat milk, sugar, milkfat, nonfat dry milk, natural and artificial flavors, mono and diglycerides, guar gum, carrageenan, corn starch, cellulose gum, beta carotene (color), coffee extract (made with 100% Arabica coffee and water)"
Chocolate Chunk Cookie,78g,370,17,9,0,15,230,49,3,26,5,1,1,1,1,0,0,1.65,"Baked each day in our Restaurants, these cookies have both semi-sweet dark and milk chocolate chunks, along with wholesome oats for an old-fashioned touch.","Wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), sugar, milk chocolate chunks (sugar, chocolate liquor, cocoa butter, whole milk, soy lecithin, salt, vanilla), semi-sweet chocolate chunks (sugar, chocolate liquor, cocoa butter, soy lecithin), palm oil, rolled oats, butter (salted and unsalted), whole eggs, invert syrup, water, molasses, salt, natural and artificial vanilla flavor, baking soda, sodium acid pyrophosphate"
Chocolate Fudge Brownie,85g,380,21,7,0,65,150,48,2,36,4,1,1,1,1,0,0,2.25,A decadent dessert treat with rich semi-sweet chocolate melted into the batter and fudgy chunks. Available individually or in a tray.,"Sugar, margarine (vegetable oil blend [palm fruit, soybean and olive oils], water, salt, non-fat dry milk, soy lecithin, monoglycerides, natural flavor, vitamin A palmitate, beta carotene color), eggs, bleached wheat flour (wheat flour enriched with niacin, iron, thiamin mononitrate, riboflavin, folic acid), semi-sweet chocolate (unsweetened chocolate, sugar, cocoa butter, milk fat, soy lecithin, vanilla, salt), fudge chunks (sugar, vegetable fat [palm and/or palm kernel], cocoa powder, cocoa powder processed with alkali, soy lecithin, salt, natural flavors, vanilla extract), cocoa processed with alkali, natural vanilla flavor, baking soda"
Cookies & Cream Milkshake,411g,630,25,15,1,85,410,90,1,84,13,1,0,1,1,0,0,4.75,"Our creamy Cookies & Cream Milkshakes are hand-spun the old-fashioned way each time and feature delicious Chick-fil-A Icedream dessert, topped with whipped cream and a cherry (except when served via delivery).","Milkshake base (whole milk, sugar, nonfat milk, milkfat, cream, whey powder, nonfat dry milk, water, natural and artificial flavor, mono and diglycerides, guar gum, carrageenan, brown sugar, cellulose gum, salt, tetrasodium pyrophosphate, corn starch, calcium sulfate, caramel color, beta carotene, annatto, sodium phosphate), cookie crumbs (unbleached enriched flour [what flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2} folic acid], sugar, palm and/or canola oil, cocoa [processed with alkali], invert sugar, leavening [baking soda and/or calcium phosphate], soy lecithin, salt, chocolate, natural flavor), whipped cream (cream, milk, sugar, sorbitol, mono and diglycerides, natural flavor, carrageenan, nitrous oxide [as whipping propellant]), cherry (cherries, water, high fructose corn syrup, corn syrup, sodium benzoate, potassium sorbate, natural and artificial flavor, sulfur dioxide [preservative], FD and C red #40, citric acid, malic acid)"
